,similarity_treshold,social_influence,swingers,no_of_neighbors,echo_limit,opinions,Run,Silent_Spiral,community_no,echo_chamber,echo_count,echo_size,majority_percentage,radical_opinions,transitivity,network_type
109,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8502441406,3.9716796875,109,0.36,11,58,0.0138193948,{'3': 58},0.459,0.0,0.013537664100000001,2
1090,0.0747753906,0.0459472656,1.07421875,2.70703125,0.9170410156000001,3.2216796875,1090,0.38,17,23,0.0075261780000000006,{'3': 23},0.6000000000000001,0.0,0.012741546900000001,2
1091,0.0747753906,0.0637011719,1.00390625,2.70703125,0.9170410156000001,3.2216796875,1091,0.34,19,25,0.0081539465,{'3': 25},0.487,0.0,0.0176742495,2
1092,0.0747753906,0.0637011719,1.07421875,4.27734375,0.9170410156000001,3.2216796875,1092,0.36,6,144,0.025465053300000002,"{'3': 136, '4': 5}",0.40900000000000003,0.001,0.0177362153,2
1093,0.0747753906,0.0637011719,1.07421875,2.70703125,0.8877441406000001,3.2216796875,1093,0.30000000000000004,18,20,0.0065595277000000006,{'3': 20},0.524,0.001,0.0138546463,2
1094,0.0747753906,0.0637011719,1.07421875,2.70703125,0.9170410156000001,4.2646484375,1094,0.26,19,18,0.00591133,{'3': 18},0.32,0.0,0.0159028848,2
1095,0.0591308594,0.0459472656,1.00390625,4.27734375,0.8877441406000001,4.2646484375,1095,0.24,4,85,0.015129683000000001,"{'3': 83, '4': 1}",0.311,0.0,0.0143733327,2
1096,0.0972753906,0.0412011719,4.07421875,5.70703125,0.8795410156000001,2.4716796875,1096,0.44,4,395,0.0548916064,"{'3': 378, '4': 17}",0.533,0.0,0.0244671311,2
1097,0.0366308594,0.0412011719,4.07421875,5.70703125,0.8795410156000001,2.4716796875,1097,0.68,7,378,0.0539460539,"{'3': 367, '4': 11}",0.642,0.005,0.0229229477,2
1098,0.0972753906,0.0234472656,4.07421875,5.70703125,0.8795410156000001,2.4716796875,1098,0.68,5,321,0.0459058857,"{'3': 314, '4': 5}",0.591,0.001,0.019609431400000002,2
1099,0.0972753906,0.0412011719,2.00390625,5.70703125,0.8795410156000001,2.4716796875,1099,0.34,6,357,0.0512562814,"{'3': 341, '4': 16}",0.599,0.0,0.019537538400000002,2
11,0.0747753906,0.0637011719,1.00390625,2.70703125,0.9170410156000001,3.2216796875,11,0.18,20,17,0.0055682935,{'3': 17},0.534,0.0,0.0123199069,2
