	no_of_neighbors	similarity_treshold	social_influence	swingers	beta_component	Run	Echo_Chambers	Silent_Spiral	opinions	radical_opinions	network_type
1351	4.3466796875	0.476962890625	0.034169921875	2.50390625	0.72490234375	1351	1	0.16666666666666666	0.5033333333333333	0.006666666666666667	1
1352	4.3466796875	0.426689453125	0.152119140625	2.50390625	0.72490234375	1352	0	0.16666666666666666	0.5366666666666666	0.0	1
1353	4.3466796875	0.426689453125	0.034169921875	2.20703125	0.72490234375	1353	0	0.26666666666666666	0.5	0.006666666666666667	1
1354	4.3466796875	0.426689453125	0.034169921875	2.50390625	0.23974609375	1354	1	0.3	0.48333333333333334	0.0	1
1355	4.3466796875	0.426689453125	0.034169921875	2.50390625	0.72490234375	1355	0	0.26666666666666666	0.4766666666666667	0.006666666666666667	1
1356	4.5341796875	0.971962890625	0.647119140625	4.20703125	0.68974609375	1356	1	0.16666666666666666	0.47	0.10666666666666667	1
1357	2.8466796875	0.971962890625	0.647119140625	4.20703125	0.68974609375	1357	5	0.23333333333333334	0.5333333333333333	0.023333333333333334	1
1358	4.5341796875	0.921689453125	0.647119140625	4.20703125	0.68974609375	1358	3	0.26666666666666666	0.59	0.16333333333333333	1
1359	4.5341796875	0.971962890625	0.529169921875	4.20703125	0.68974609375	1359	0	0.16666666666666666	0.47	0.03	1
1360	4.5341796875	0.971962890625	0.647119140625	4.50390625	0.68974609375	1360	2	0.2	0.43333333333333335	0.06	1
1361	4.5341796875	0.971962890625	0.647119140625	4.20703125	0.27490234375	1361	1	0.13333333333333333	0.6	0.15666666666666668	1
1362	4.5341796875	0.921689453125	0.529169921875	4.50390625	0.27490234375	1362	2	0.13333333333333333	0.44333333333333336	0.016666666666666666	1
1363	2.8466796875	0.971962890625	0.529169921875	4.50390625	0.27490234375	1363	3	0.2	0.4666666666666667	0.0	1
1364	2.8466796875	0.921689453125	0.647119140625	4.50390625	0.27490234375	1364	2	0.23333333333333334	0.5133333333333333	0.023333333333333334	1
1365	2.8466796875	0.921689453125	0.529169921875	4.20703125	0.27490234375	1365	7	0.26666666666666666	0.5733333333333334	0.0	1
1366	2.8466796875	0.921689453125	0.529169921875	4.50390625	0.68974609375	1366	8	0.3333333333333333	0.4633333333333333	0.0	1
1367	2.8466796875	0.921689453125	0.529169921875	4.50390625	0.27490234375	1367	2	0.2	0.5266666666666666	0.0033333333333333335	1
1368	2.6591796875	0.105712890625	0.523369140625	3.70703125	0.35224609375000004	1368	7	0.23333333333333334	0.5666666666666667	0.07333333333333333	1
1369	4.7216796875	0.105712890625	0.523369140625	3.70703125	0.35224609375000004	1369	0	0.2	0.46	0.06666666666666667	1
1370	2.6591796875	0.055439453125	0.523369140625	3.70703125	0.35224609375000004	1370	5	0.26666666666666666	0.54	0.08	1
1371	2.6591796875	0.105712890625	0.900419921875	3.70703125	0.35224609375000004	1371	12	0.3	0.33666666666666667	0.21333333333333335	1
1372	2.6591796875	0.105712890625	0.523369140625	3.00390625	0.35224609375000004	1372	9	0.3333333333333333	0.41	0.03333333333333333	1
1373	2.6591796875	0.105712890625	0.523369140625	3.70703125	0.16240234375	1373	11	0.3333333333333333	0.59	0.06333333333333334	1
1374	2.6591796875	0.055439453125	0.900419921875	3.00390625	0.16240234375	1374	8	0.26666666666666666	0.5366666666666666	0.14666666666666667	1
1375	4.7216796875	0.105712890625	0.900419921875	3.00390625	0.16240234375	1375	3	0.16666666666666666	0.3233333333333333	0.39666666666666667	1
